pais,cbi_paises,gasto,inflacao,pib,polcon,pibvar,pclow,pchigh,pcmed,rendabaixa,rendaalta,rendamedia
Albania,0.7105000019073486,23.007590723665995,2.03159268395298,4247.630047481943,7,1.4172428003790003,0,1,0,0,0,1
Armenia,0.8464999794960022,21.373642156068247,2.55802007757907,3681.8446906049526,5,7.200000000964863,0,0,1,0,0,1
Australia,0.251120001077652,26.13528167680577,1.76278015613193,68027.84170673776,7,3.917362463285045,0,1,0,0,1,0
Austria,0.8565000295639038,46.14504854559053,2.48567562177017,48564.91733508746,7,0.680445576816723,0,1,0,0,1,0
Azerbaijan,0.5715000033378601,22.185383888922377,1.06621339720313,7496.294647682633,2,2.1652394301295885,1,0,0,0,0,1
Bangladesh,0.32763001322746277,9.638538732578429,6.21750422069283,883.1171296157182,5,6.521458780594202,0,0,1,1,0,0
Belarus,0.7486699819564819,27.622422763951498,59.2197360232519,6953.132514936838,2,1.6871355364284142,1,0,0,0,0,1
Belgium,0.8565000295639038,45.91315795674859,2.83966343445897,44670.56068451006,7,0.7392172830586787,0,1,0,0,1,0
Bhutan,0.5426300168037415,20.922436986120417,10.919656944683,2538.949519199644,4,5.118400858005344,0,0,1,0,0,1
Botswana,0.5158799886703491,30.484401006928323,7.53690261091916,7050.573471866812,7,4.4561444705963,0,1,0,0,0,1
Brazil,0.25488001108169556,30.794052887995456,5.40349914037009,12370.223254847639,6,1.9211759850946208,0,1,0,0,0,1
Bulgaria,0.8565000295639038,30.939426460391473,2.95456829831017,7432.478765680711,7,0.7549303859818934,0,1,0,0,0,1
Burkina Faso,0.8015000224113464,12.921445753966443,3.81815240252386,758.000426972403,3,6.452672379531464,0,0,1,1,0,0
Cambodia,0.6372500061988831,10.573342190401489,2.93431609293959,950.880345993697,4,7.313345505300077,0,0,1,1,0,0
Cameroon,0.5014500021934509,12.752747363002682,2.74253407543984,1403.522915217829,2,4.625978719416523,1,0,0,0,0,1
Canada,0.47238001227378845,17.51751992797743,1.51567823124521,52669.08996323164,7,1.7622225494588122,0,1,0,0,1,0
Central African Republic,0.5014500021934509,8.184471905746195,5.47829594346116,565.80120711394,3,5.053761253569178,0,0,1,1,0,0
Chile,0.8190000057220459,19.928849042533585,3.00744840213049,15351.540738715341,7,5.318628000435524,0,1,0,0,1,0
Colombia,0.6932500004768372,25.032986300218862,3.16732560328694,8050.255371670508,6,3.9126357671611487,0,1,0,0,0,1
"Congo, Democratic Republic of / Za",0.5630000233650208,11.654666988832785,9.72182806273363,424.60037381496034,5,7.0868989467194154,0,0,1,1,0,0
